cell_uid,batch_name,cycle_life,charging_policy,c1,c2,qdlin_010_min,qdlin_010_var,qdlin_100_min,qdlin_100_var,delta_q_min,delta_q_var
2017-05-12_cell_000,2017-05-12,1190.0,3.6C(80%)-3.6C,3.6,3.6,-0.0003972576780856,0.17924558251915015,-0.0003424859516949,0.17865865491284316,-0.008459642934268818,9.663600264771337e-06
2017-05-12_cell_001,2017-05-12,1179.0,3.6C(80%)-3.6C,3.6,3.6,-0.0001583941351985,0.18232787328381622,-0.0003156746113632,0.18151561779331568,-0.011003816596621974,9.683678956851992e-06
2017-05-12_cell_002,2017-05-12,1177.0,3.6C(80%)-3.6C,3.6,3.6,-0.0001904570684582,0.18189484812016635,-0.0001816766267202,0.18150655856442038,-0.01721639184964449,1.8323155109710958e-05
2017-05-12_cell_003,2017-05-12,1226.0,4C(80%)-4C,4.0,4.0,-0.0003657186928554,0.18164786575701922,-0.0001836786015996,0.17957628057853725,-0.01896053977326939,3.608997994486939e-05
2017-05-12_cell_004,2017-05-12,1227.0,4C(80%)-4C,4.0,4.0,-0.0004104668511019,0.18236242061138,-0.0003688335265854,0.18075504300313772,-0.013957995093677344,2.2503824885676083e-05
2017-05-12_cell_005,2017-05-12,1074.0,4.4C(80%)-4.4C,4.4,4.4,-0.0004609303439088,0.18154570980906434,-0.0002238190779872,0.17789307863055795,-0.025178778949337177,6.624026126041222e-05
2017-05-12_cell_006,2017-05-12,636.0,4.8C(80%)-4.8C,4.8,4.8,-0.0004394161915455,0.18314997052721974,-0.0003773819097011,0.17902855233594583,-0.03788603931347989,0.00017026371292231944
2017-05-12_cell_007,2017-05-12,870.0,4.8C(80%)-4.8C,4.8,4.8,-0.0001600112649071,0.18617216476118484,-0.0003943963835213,0.1818572520587382,-0.03823338650707442,0.00015364340477588744
2017-05-12_cell_008,2017-05-12,879.0,5.4C(40%)-3.6C,5.4,3.6,-0.0004080928094356,0.18668271025387848,-0.0004222849171568,0.1828007025006073,-0.030807702259195158,9.972530913284566e-05
2017-05-12_cell_009,2017-05-12,1054.0,5.4C(40%)-3.6C,5.4,3.6,-0.0001900450478491,0.18376016108848658,-0.0002276659890547,0.1805409447141667,-0.028724475696229823,8.722004817808696e-05
2017-05-12_cell_010,2017-05-12,906.0,5.4C(50%)-3C,5.4,3.0,-0.0003504783469279,0.18099608933660818,-0.0002291633094257,0.17879868301990207,-0.026992931922526497,9.493510903192651e-05
2017-05-12_cell_011,2017-05-12,788.0,5.4C(50%)-3C,5.4,3.0,-0.0001489519719193,0.17267568160264782,-0.0001524796428176,0.17092060452456653,-0.023691513033622602,7.130228856858243e-05
2017-05-12_cell_012,2017-05-12,902.0,5.4C(50%)-3.6C,5.4,3.6,-0.0001592869884697,0.18185011728611233,-0.0001673995458096,0.17829296392775748,-0.027438869587688042,7.495650888780393e-05
2017-05-12_cell_013,2017-05-12,897.0,5.4C(50%)-3.6C,5.4,3.6,-0.0002274645186287,0.1845533304139601,-0.0005347214736453,0.1802637831417586,-0.029137075239816568,8.953514522265091e-05
2017-05-12_cell_014,2017-05-12,880.0,5.4C(60%)-3C,5.4,3.0,-0.0001953365105521,0.18080682875604703,-0.000220681512377,0.17719665726360379,-0.0282939556930506,8.993529426869348e-05
2017-05-12_cell_015,2017-05-12,719.0,5.4C(60%)-3C,5.4,3.0,-0.000206533420646,0.17800614012568616,-0.0003952324962318,0.1751234656880721,-0.02894455469678514,9.595130743781208e-05
2017-05-12_cell_016,2017-05-12,862.0,5.4C(60%)-3.6C,5.4,3.6,-0.0002721553909034,0.18388385975606195,-0.0004450186422126,0.17971047382351862,-0.027606674842371004,7.954013514589494e-05
2017-05-12_cell_017,2017-05-12,857.0,5.4C(60%)-3.6C,5.4,3.6,-0.0003613167797753,0.18123400674140872,-0.0004052616652907,0.1770843670296583,-0.031067967108938443,0.00010711259692754453
2017-05-12_cell_018,2017-05-12,691.0,5.4C(70%)-3C,5.4,3.0,-0.0001636909862085,0.17802045301173358,-0.0002014812803325,0.1713902722414841,-0.044133215408272974,0.0002238305979209946
2017-05-12_cell_019,2017-05-12,788.0,5.4C(70%)-3C,5.4,3.0,-0.0002045432308425,0.18440947616441775,-0.000206053598559,0.17873828168417408,-0.04589269342650848,0.00023993476144574304
2017-05-12_cell_020,2017-05-12,534.0,5.4C(80%)-5.4C,5.4,5.4,-0.0001345461784579,0.17948402597663252,-0.0001309216415322,0.16899243622364943,-0.06358042689660326,0.0004293016817129661
2017-05-12_cell_021,2017-05-12,559.0,5.4C(80%)-5.4C,5.4,5.4,-0.0001634518180147,0.18265046661949338,-0.0002032743483084,0.1738999269533425,-0.06472026276575493,0.00044633603224653495
2017-05-12_cell_022,2017-05-12,891.0,6C(30%)-3.6C,6.0,3.6,-0.0001849078245814,0.18287125924964123,-0.0003710403730429,0.17842461000442764,-0.03214714400899121,0.00011164295598941369
2017-05-12_cell_023,2017-05-12,1014.0,6C(30%)-3.6C,6.0,3.6,-0.0002003007792495,0.18374856178697235,-0.0003516976724247,0.17954714489610824,-0.029953516931757407,9.103457241110656e-05
2017-05-12_cell_024,2017-05-12,1017.0,6C(40%)-3C,6.0,3.0,-0.0002200387358569,0.18042266262529083,-0.000418190919199,0.17686042507243474,-0.03184213409789827,0.000115169498663503
