cell_uid,batch_name,cycle_life_2
2017-05-12_cell_000,2017-05-12,1.0
2017-05-12_cell_001,2017-05-12,1.0
2017-05-12_cell_002,2017-05-12,1.0
2017-05-12_cell_003,2017-05-12,1.0
2017-05-12_cell_004,2017-05-12,1.0
2017-05-12_cell_005,2017-05-12,1.0
2017-05-12_cell_006,2017-05-12,1.0
2017-05-12_cell_007,2017-05-12,1.0
2017-05-12_cell_008,2017-05-12,1.0
2017-05-12_cell_009,2017-05-12,1.0
2017-05-12_cell_010,2017-05-12,1.0
2017-05-12_cell_011,2017-05-12,1.0
2017-05-12_cell_012,2017-05-12,1.0
2017-05-12_cell_013,2017-05-12,1.0
2017-05-12_cell_014,2017-05-12,1.0
2017-05-12_cell_015,2017-05-12,1.0
2017-05-12_cell_016,2017-05-12,1.0
2017-05-12_cell_017,2017-05-12,1.0
2017-05-12_cell_018,2017-05-12,1.0
2017-05-12_cell_019,2017-05-12,1.0
2017-05-12_cell_020,2017-05-12,1.0
2017-05-12_cell_021,2017-05-12,1.0
2017-05-12_cell_022,2017-05-12,1.0
2017-05-12_cell_023,2017-05-12,1.0
2017-05-12_cell_024,2017-05-12,1.0
2017-05-12_cell_025,2017-05-12,1.0
2017-05-12_cell_026,2017-05-12,1.0
2017-05-12_cell_027,2017-05-12,1.0
2017-05-12_cell_028,2017-05-12,1.0
2017-05-12_cell_029,2017-05-12,1.0
2017-05-12_cell_030,2017-05-12,1.0
2017-05-12_cell_031,2017-05-12,1.0
2017-05-12_cell_032,2017-05-12,1.0
2017-05-12_cell_033,2017-05-12,1.0
2017-05-12_cell_034,2017-05-12,1.0
2017-05-12_cell_035,2017-05-12,1.0
2017-05-12_cell_036,2017-05-12,1.0
2017-05-12_cell_037,2017-05-12,1.0
2017-05-12_cell_038,2017-05-12,1.0
2017-05-12_cell_039,2017-05-12,1.0
2017-05-12_cell_040,2017-05-12,1.0
2017-05-12_cell_041,2017-05-12,1.0
2017-05-12_cell_042,2017-05-12,1.0
2017-05-12_cell_043,2017-05-12,1.0
2017-05-12_cell_044,2017-05-12,1.0
2017-05-12_cell_045,2017-05-12,1.0
2018-02-20_cell_000,2018-02-20,477.0
2018-02-20_cell_001,2018-02-20,491.0
2018-02-20_cell_002,2018-02-20,424.0
2018-02-20_cell_003,2018-02-20,499.0
2018-02-20_cell_004,2018-02-20,444.0
2018-02-20_cell_005,2018-02-20,416.0
2018-02-20_cell_006,2018-02-20,393.0
2018-02-20_cell_007,2018-02-20,777.0
2018-02-20_cell_008,2018-02-20,904.0
2018-02-20_cell_009,2018-02-20,791.0
2018-02-20_cell_010,2018-02-20,492.0
2018-02-20_cell_011,2018-02-20,449.0
2018-02-20_cell_012,2018-02-20,466.0
2018-02-20_cell_013,2018-02-20,460.0
2018-02-20_cell_014,2018-02-20,426.0
2018-02-20_cell_015,2018-02-20,396.0
2018-02-20_cell_016,2018-02-20,472.0
2018-02-20_cell_017,2018-02-20,471.0
2018-02-20_cell_018,2018-02-20,449.0
2018-02-20_cell_019,2018-02-20,392.0
2018-02-20_cell_020,2018-02-20,489.0
2018-02-20_cell_021,2018-02-20,408.0
2018-02-20_cell_024,2018-02-20,514.0
2018-02-20_cell_025,2018-02-20,493.0
2018-02-20_cell_026,2018-02-20,450.0
2018-02-20_cell_027,2018-02-20,474.0
2018-02-20_cell_028,2018-02-20,437.0
2018-02-20_cell_029,2018-02-20,452.0
2018-02-20_cell_030,2018-02-20,412.0
2018-02-20_cell_031,2018-02-20,425.0
2018-02-20_cell_032,2018-02-20,809.0
2018-02-20_cell_033,2018-02-20,1140.0
2018-02-20_cell_034,2018-02-20,1186.0
2018-02-20_cell_041,2018-02-20,442.0
2018-02-20_cell_042,2018-02-20,474.0
2018-02-20_cell_043,2018-02-20,1029.0
2018-02-20_cell_044,2018-02-20,841.0
2018-02-20_cell_045,2018-02-20,997.0
2018-02-20_cell_046,2018-02-20,503.0
2018-04-12_cell_000,2018-04-12,
2018-04-12_cell_001,2018-04-12,
2018-04-12_cell_002,2018-04-12,
2018-04-12_cell_003,2018-04-12,
2018-04-12_cell_004,2018-04-12,
2018-04-12_cell_005,2018-04-12,
2018-04-12_cell_006,2018-04-12,
2018-04-12_cell_007,2018-04-12,
2018-04-12_cell_008,2018-04-12,
2018-04-12_cell_009,2018-04-12,
2018-04-12_cell_010,2018-04-12,
2018-04-12_cell_011,2018-04-12,
2018-04-12_cell_012,2018-04-12,
2018-04-12_cell_013,2018-04-12,
2018-04-12_cell_014,2018-04-12,
2018-04-12_cell_015,2018-04-12,
2018-04-12_cell_016,2018-04-12,
2018-04-12_cell_017,2018-04-12,
2018-04-12_cell_018,2018-04-12,
2018-04-12_cell_019,2018-04-12,
2018-04-12_cell_020,2018-04-12,
2018-04-12_cell_021,2018-04-12,
2018-04-12_cell_022,2018-04-12,
2018-04-12_cell_024,2018-04-12,
2018-04-12_cell_025,2018-04-12,
2018-04-12_cell_026,2018-04-12,
2018-04-12_cell_027,2018-04-12,
2018-04-12_cell_028,2018-04-12,
2018-04-12_cell_029,2018-04-12,
2018-04-12_cell_030,2018-04-12,
2018-04-12_cell_031,2018-04-12,
2018-04-12_cell_033,2018-04-12,
2018-04-12_cell_034,2018-04-12,
2018-04-12_cell_035,2018-04-12,
2018-04-12_cell_036,2018-04-12,
2018-04-12_cell_037,2018-04-12,
2018-04-12_cell_038,2018-04-12,
2018-04-12_cell_039,2018-04-12,
2018-04-12_cell_040,2018-04-12,
2018-04-12_cell_041,2018-04-12,
2018-04-12_cell_042,2018-04-12,
