cell_uid,batch_name,cycle_life,charging_policy,imputed_rows
2018-02-20_cell_005,2018-02-20,416.0,3.6C(30%)-6C,31
2018-02-20_cell_024,2018-02-20,514.0,4.8C(80%)-4.8C,31
2018-02-20_cell_030,2018-02-20,412.0,5.6C(26%)-4.5C,31
2018-02-20_cell_013,2018-02-20,460.0,4.65C(69%)-6C,30
2018-02-20_cell_006,2018-02-20,393.0,3.6C(9%)-5C,28
2018-02-20_cell_002,2018-02-20,424.0,5.2C(50%)-4.25C,26
2018-02-20_cell_008,2018-02-20,904.0,5.2C(58%)-4C-newstructure,24
2018-02-20_cell_031,2018-02-20,425.0,5.6C(26%)-4.5C,24
2018-02-20_cell_000,2018-02-20,477.0,5.2C(58%)-4C,22
2018-02-20_cell_001,2018-02-20,491.0,5.6C(26%)-4.5C,22
2018-02-20_cell_025,2018-02-20,493.0,5.2C(58%)-4C,22
2018-02-20_cell_029,2018-02-20,452.0,5.2C(58%)-4C,22
2018-02-20_cell_012,2018-02-20,466.0,4.65C(44%)-5C,21
2018-02-20_cell_019,2018-02-20,392.0,6C(60%)-3C,21
2018-02-20_cell_020,2018-02-20,489.0,5.2C(58%)-4C,21
2018-02-20_cell_010,2018-02-20,492.0,4.8C(80%)-4.8C,20
2018-02-20_cell_032,2018-02-20,809.0,4.8C(80%)-4.8C-newstructure,19
2018-02-20_cell_046,2018-02-20,503.0,4.8C(80%)-4.8C,19
2018-02-20_cell_007,2018-02-20,777.0,4.8C(80%)-4.8C-newstructure,18
2018-02-20_cell_016,2018-02-20,472.0,4.8C(80%)-4.8C,18
2018-02-20_cell_033,2018-02-20,1140.0,5.2C(58%)-4C-newstructure,18
2018-02-20_cell_017,2018-02-20,471.0,5.6C(26%)-4.5C,17
2018-02-20_cell_021,2018-02-20,408.0,6C(60%)-3C,17
2018-02-20_cell_028,2018-02-20,437.0,4.8C(80%)-4.8C,17
2018-02-20_cell_026,2018-02-20,450.0,5.6C(26%)-4.5C,16
2018-02-20_cell_042,2018-02-20,474.0,5.2C(50%)-4.25C,16
2018-02-20_cell_043,2018-02-20,1029.0,4.8C(80%)-4.8C-newstructure,16
2018-02-20_cell_003,2018-02-20,499.0,4.65C(44%)-5C,15
2018-02-20_cell_004,2018-02-20,444.0,4.65C(69%)-6C,15
2018-02-20_cell_009,2018-02-20,791.0,5.6C(26%)-4.5C-newstructure,15
2018-02-20_cell_011,2018-02-20,449.0,5.2C(50%)-4.25C,15
2018-02-20_cell_015,2018-02-20,396.0,3.6C(9%)-5C,15
2018-02-20_cell_044,2018-02-20,841.0,5.2C(58%)-4C-newstructure,14
2018-02-20_cell_014,2018-02-20,426.0,3.6C(30%)-6C,13
2018-02-20_cell_018,2018-02-20,449.0,5.2C(50%)-4.25C,13
2018-02-20_cell_034,2018-02-20,1186.0,5.6C(26%)-4.5C-newstructure,13
2018-02-20_cell_045,2018-02-20,997.0,5.6C(26%)-4.5C-newstructure,12
2018-02-20_cell_041,2018-02-20,442.0,5.6C(26%)-4.5C,11
2018-02-20_cell_027,2018-02-20,474.0,5.2C(50%)-4.25C,10
